Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imported Analog EMG - Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Sub Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,9,0.0100327,-0.00637054,0.0373459,0.0207138,-0.0164413,-0.00759125,0.00259399,0.0110626,-0.00125885,0.00934601,-0.0107574,-0.014534,-0.0112152,-0.00629425,-0.0213242,-0.010376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,0,0.0112152,-0.00904083,0.0548935,0.0232697,-0.00934601,-0.00663757,0.00247955,0.00850677,-0.00213623,0.00705719,-0.0088501,-0.0152206,-0.00961304,-0.00663757,-0.0215149,-0.0151062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,1,0.0161743,-0.00999451,0.052681,0.0236893,-0.0154877,-0.00747681,0.0025177,0.0111771,-0.00259399,0.00617981,-0.00816345,-0.015564,-0.0107956,-0.00701904,-0.0208282,-0.0138855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2,0.0233459,-0.0135422,0.0391388,0.0261307,-0.0122452,-0.00835419,0.00225067,0.0110626,-0.00175476,0.00617981,-0.0116348,-0.0153351,-0.0111008,-0.0062561,-0.0216293,-0.0197983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,3,0.0201416,-0.0142288,0.0367355,0.0250626,-0.00793457,-0.00782013,0.00331879,0.00984192,-0.0018692,0.00972748,-0.00839233,-0.0156021,-0.0114822,-0.00621796,-0.0165939,-0.0155258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,4,0.0133896,-0.0149155,0.0385284,0.0218582,-0.0133133,-0.00686646,0.00141144,0.00995636,-0.00205994,0.00522614,-0.00804901,-0.0159073,-0.0109482,-0.00671387,-0.0203323,-0.0162888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,5,0.0110245,-0.0138855,0.0326157,0.0217056,-0.012207,-0.00537872,0.00301361,0.00972748,-0.00171661,0.00667572,-0.0125122,-0.0152969,-0.0105286,-0.00751495,-0.0221252,-0.0190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,6,0.0119781,-0.0135422,0.0319672,0.0258636,-0.0151062,-0.00728607,0.00118256,0.00995636,-0.00167847,0.00267029,-0.00915527,-0.0157547,-0.01091,-0.0063324,-0.0223541,-0.0147629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,7,0.0158691,-0.0104523,0.0398254,0.0272369,-0.0114441,-0.00785828,0.00267029,0.00946045,-0.00324249,0.00659943,-0.0110245,-0.0150299,-0.011673,-0.00640869,-0.021019,-0.0170898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,8,0.014534,-0.00873566,0.052948,0.0278091,-0.0154114,-0.00709534,0.00297546,0.0105667,-0.00267029,0.00488281,-0.00831604,-0.0152588,-0.0117493,-0.0056839,-0.0231171,-0.0154877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,9,0.00839233,-0.00801086,0.0500488,0.0283051,-0.0137329,-0.00743866,0.0025177,0.00957489,-0.0012207,0.0075531,-0.00343323,-0.0152206,-0.0107193,-0.00583649,-0.0218201,-0.0188065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,0,0.00968933,-0.0069809,0.0473785,0.0287247,-0.0125504,-0.00717163,0.00240326,0.00984192,-0.00160217,0.00694275,-0.0126648,-0.0149536,-0.0115585,-0.00656128,-0.021286,-0.0209045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,1,0.0124741,-0.00850677,0.0391006,0.0313568,-0.011673,-0.00774384,0.00228882,0.010376,-0.00087738,0.00671387,-0.0108337,-0.0167084,-0.00999451,-0.00675201,-0.0219727,-0.0163269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,2,0.0134659,-0.00827789,0.0396729,0.0309753,-0.0121689,-0.00778198,0.00228882,0.00789642,-0.00198364,0.00587463,-0.00919342,-0.0150681,-0.0118637,-0.00602722,-0.0227356,-0.0152206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,3,-0.00537872,-0.0138474,0.0450516,0.0294495,-0.0115585,-0.00724792,0.00507355,0.0102615,-0.00213623,0.00492096,-0.00961304,-0.0164795,-0.0114059,-0.00602722,-0.0185394,-0.0146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,4,-0.017662,-0.0126266,0.0453949,0.028038,-0.0117111,-0.00747681,0.00190735,0.00957489,-0.00198364,0.00640869,-0.0110245,-0.0152206,-0.0122452,-0.0063324,-0.0243759,-0.0132751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,5,0.0012207,-0.0128174,0.0495148,0.0314331,-0.00682831,-0.00705719,0.00347137,0.0115967,-0.00133514,0.00705719,-0.0125504,-0.0155258,-0.0107574,-0.00701904,-0.0208664,-0.0212097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,6,0.00305176,-0.0137329,0.0475311,0.0304031,-0.00900269,-0.00694275,0.00434875,0.0112534,-0.00190735,0.00896454,-0.00972748,-0.0147247,-0.0118637,-0.00709534,-0.0210571,-0.016861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,7,-0.00347137,-0.0142288,0.0446701,0.0300598,-0.0114441,-0.00736237,0.00240326,0.0101852,-0.0025177,0.0075531,-0.00961304,-0.0156403,-0.01091,-0.00659943,-0.0201416,-0.0123215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,8,-0.00667572,-0.0146866,0.0405121,0.0307465,-0.00984192,-0.00728607,0.00347137,0.00995636,-0.00205994,0.00511169,-0.00839233,-0.0147247,-0.0115585,-0.00583649,-0.0187683,-0.0147247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,9,-0.0120544,-0.0101471,0.0454712,0.032959,-0.0130081,-0.00679016,0.00331879,0.0103378,-0.00343323,0.00793457,-0.00839233,-0.0157547,-0.0113678,-0.00522614,-0.0206757,-0.0160217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,0,0.0030899,-0.00976563,0.0462341,0.0333786,-0.0117493,-0.00705719,0.00240326,0.0101089,-0.00274658,0.00793457,-0.00888824,-0.0156021,-0.0118637,-0.00686646,-0.0206757,-0.0151062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,1,0.0220108,-0.0123215,0.0414658,0.0228119,-0.0121307,-0.00686646,0.00240326,0.0101089,-0.0019455,0.00648499,-0.0094223,-0.0165939,-0.0115204,-0.00587463,-0.0224304,-0.0147247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2,0.017128,-0.0170517,0.0369263,0.0229645,-0.0135803,-0.00778198,0.00305176,0.0120163,-0.00144958,0.00770569,-0.00862122,-0.0151825,-0.0114059,-0.00640869,-0.022049,-0.016861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,3,0.0101471,-0.0114441,0.0356674,0.0231934,-0.0126266,-0.00682831,0.00320435,0.0104523,-0.00118256,0.00465393,-0.00972748,-0.0160217,-0.0109482,-0.00640869,-0.0220871,-0.0156403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,4,0.0150299,-0.00896454,0.0328827,0.0234985,-0.0130844,-0.00656128,0.00297546,0.0102997,-0.00209808,0.00648499,-0.00995636,-0.0154114,-0.0112915,-0.00663757,-0.0215912,-0.018158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,5,0.0138092,-0.0125885,0.0333786,0.0205231,-0.0111389,-0.00728607,0.00404358,0.0104904,-0.00205994,0.00339508,-0.00911713,-0.0160599,-0.0114059,-0.00663757,-0.0154114,-0.0151825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,6,0.00900269,-0.00892639,0.0306702,0.0199127,-0.0114441,-0.0069809,0.00339508,0.00976563,-0.00167847,0.00713348,-0.0101089,-0.0165939,-0.01091,-0.00614166,-0.0215912,-0.0149155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,7,0.00267029,-0.0115204,0.0379562,0.0259018,-0.0127411,-0.00713348,0.00320435,0.010643,-0.00225067,0.00686646,-0.00976563,-0.0157547,-0.0106812,-0.00587463,-0.0209808,-0.0177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,8,0.00591278,-0.00980377,0.0531769,0.0237656,-0.0121689,-0.00705719,0.00347137,0.0112152,-0.00125885,0.0075531,-0.00808716,-0.0149536,-0.0108719,-0.00572205,-0.0209045,-0.0131607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,9,0.00659943,-0.0201416,0.0499344,0.0226212,-0.0115204,-0.00587463,0.00328064,0.0104523,-0.00297546,0.00751495,-0.00953674,-0.014801,-0.0111771,-0.00553131,-0.0230408,-0.0159073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
